,Close,Predicted_Signal,Actual_Direction,Correct_Prediction,Next_Close,Price_Change,Return,Strategy_Return,Cumulative_Return
0,13380.0,1,1,1,14675.11,1295.1100000000006,0.09679446935724967,0.09679446935724967,1.0967944693572496
1,14675.11,1,1,1,14919.51,244.39999999999964,0.016654048930467957,0.016654048930467957,1.115060538116592
2,14919.51,1,1,1,15059.54,140.03000000000065,0.009385696983346011,0.009385696983346011,1.1255261584454408
3,15059.54,1,1,1,16960.39,1900.8499999999985,0.12622231489142421,0.12622231489142421,1.2675926756352764
4,16960.39,1,1,1,17069.79,109.40000000000146,0.006450323371101812,0.006450323371101812,1.275769058295964
5,17069.79,0,0,1,16150.03,-919.7600000000002,-0.053882326613274106,-0.0,1.275769058295964
6,16150.03,0,0,1,14902.54,-1247.4899999999998,-0.07724381936132625,-0.0,1.275769058295964
7,14902.54,0,0,1,14400.0,-502.5400000000009,-0.033721768235482064,-0.0,1.275769058295964
8,14400.0,1,1,1,14907.09,507.09000000000015,0.03521458333333334,0.03521458333333334,1.3206947341134154
9,14907.09,0,0,1,13238.78,-1668.3099999999995,-0.11191386112245914,-0.0,1.3206947341134154
10,13238.78,1,1,1,13740.01,501.22999999999956,0.03786073943369401,0.03786073943369401,1.3706972133131352
11,13740.01,1,1,1,14210.0,469.9899999999998,0.03420594308155524,0.03420594308155524,1.4175832041737708
12,14210.0,0,0,1,13474.99,-735.0100000000002,-0.05172484166080227,-0.0,1.4175832041737708
13,13474.99,1,1,1,13539.93,64.94000000000051,0.00481929856719749,0.00481929856719749,1.4244149608785288
14,13539.93,0,0,1,10900.0,-2639.9300000000003,-0.19497368154783667,-0.0,1.4244149608785288
15,10900.0,1,1,1,10988.79,88.79000000000087,0.008145871559633108,0.008145871559633108,1.4360180621974652
16,10988.79,0,0,1,10961.97,-26.820000000001528,-0.002440669081855375,-0.0,1.4360180621974652
17,10961.97,1,1,1,11474.98,513.0100000000002,0.04679906987521406,0.04679906987521406,1.5032223718323139
18,11474.98,1,1,1,12799.94,1324.960000000001,0.11546512499368199,0.11546512499368199,1.676792130889231
19,12799.94,0,0,1,11530.0,-1269.9400000000005,-0.09921452756809801,-0.0,1.676792130889231
20,11530.0,0,0,1,10760.05,-769.9500000000007,-0.06677797051170865,-0.0,1.676792130889231
21,10760.05,1,1,1,10799.18,39.13000000000102,0.00363660020167202,0.00363660020167202,1.682889953490585
22,10799.18,1,1,1,11349.99,550.8099999999995,0.051004798512479604,0.051004798512479604,1.7687254164870483
23,11349.99,0,0,1,11175.27,-174.71999999999935,-0.01539384616197894,-0.0,1.7687254164870483
24,11175.27,0,0,1,11089.0,-86.27000000000044,-0.007719723997720004,-0.0,1.7687254164870483
25,11089.0,1,1,1,11491.0,402.0,0.036252141762106595,0.036252141762106595,1.8328455010237779
26,11491.0,1,1,1,11879.95,388.9500000000007,0.03384822904882088,0.03384822904882088,1.8948840753535316
27,11879.95,0,0,1,11251.0,-628.9500000000007,-0.052942142012382266,-0.0,1.8948840753535316
28,11251.0,0,0,1,10237.51,-1013.4899999999998,-0.09007999288952091,-0.0,1.8948840753535316
29,10237.51,1,1,1,10285.1,47.590000000000146,0.004648591307847332,0.004648591307847332,1.9036926169955983
30,10285.1,1,0,0,9224.52,-1060.58,-0.10311810288670016,-0.10311810288670016,1.7073874458515947
31,9224.52,0,0,1,8873.03,-351.4899999999998,-0.03810387965986303,-0.0,1.7073874458515947
32,8873.03,1,1,1,9199.96,326.9299999999985,0.036845361730998144,0.036845361730998144,1.7702967539089616
33,9199.96,0,0,1,8184.81,-1015.1499999999987,-0.11034287105596098,-0.0,1.7702967539089616
34,8184.81,0,0,1,6939.99,-1244.8200000000006,-0.15208905276970394,-0.0,1.7702967539089616
35,6939.99,1,1,1,7652.14,712.1500000000005,0.10261542163605432,0.10261542163605432,1.9519565017322682
36,7652.14,0,0,1,7599.0,-53.14000000000033,-0.0069444625947774515,-0.0,1.9519565017322682
37,7599.0,1,1,1,7784.02,185.02000000000044,0.024347940518489333,0.024347940518489333,1.9994826225311242
38,7784.02,1,1,1,8683.92,899.8999999999996,0.11560864437655602,0.11560864437655602,2.2306400979764285
39,8683.92,0,0,1,8533.98,-149.9400000000005,-0.017266395821242078,-0.0,2.2306400979764285
40,8533.98,0,0,1,8063.88,-470.09999999999945,-0.055085669289124124,-0.0,2.2306400979764285
41,8063.88,1,1,1,8903.0,839.1199999999999,0.1040590881808757,0.1040590881808757,2.462758472631555
42,8903.0,0,0,1,8539.9,-363.10000000000036,-0.04078400539144113,-0.0,2.462758472631555
43,8539.9,0,1,0,9449.99,910.0900000000001,0.10656916357334398,0.0,2.462758472631555
44,9449.99,0,1,0,10000.09,550.1000000000004,0.058211701811324706,0.0,2.462758472631555
45,10000.09,1,1,1,10159.98,159.88999999999942,0.01598885610029504,0.01598885610029504,2.502135163460243
46,10159.98,1,1,1,11039.55,879.5699999999997,0.08657202081106456,0.08657202081106456,2.7187500609034196
47,11039.55,0,0,1,10383.43,-656.119999999999,-0.05943358198477284,-0.0,2.7187500609034196
48,10383.43,1,1,1,11153.0,769.5699999999997,0.07411520085366778,0.07411520085366778,2.920250767738198
49,11153.0,1,1,1,11200.99,47.98999999999978,0.00430287814937683,0.00430287814937683,2.9328162509573996
50,11200.99,0,0,1,10437.6,-763.3899999999994,-0.06815379711971883,-0.0,2.9328162509573996
51,10437.6,0,0,1,9811.04,-626.5599999999995,-0.06002912546945653,-0.0,2.9328162509573996
52,9811.04,1,1,1,10131.04,320.0,0.032616317943867316,0.032616317943867316,3.028473918269567
